doc_id,key,premise,hypothesis,label,label_binary
194,nda-8,"The obligations imposed upon herein shall not apply to Confidential Information which is: 5.7 required by any judicial or governmental authority, provided that the Receiving Party shall take reasonable steps to give the Disclosing Party sufficient prior notice in order to contest any request, requirement or order made by such judicial or governmental authority for the Confidential Information.","Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",Entailment,0
121,nda-16,,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,NotMentioned,0
574,nda-15,"Each Party agrees that neither it nor any of its subsidiaries or affiliates has been granted any license, copyright or other similar right or privilege with respect to any of the Information or other information provided by or on behalf of the other Party. Each Party hereby acknowledges and confirms that all existing and future intellectual property rights relating to the other Party’s Information are the exclusive property of such Party. Each Party agrees that it will not apply for or obtain any intellectual property protection in respect of the other Party’s Information. All intellectual property rights relating to any drawings, documents and work carried out by any Party (whether past, present or future) using the other Party’s Information will belong to and will vest in the other Party. (a) COMPANY agrees that XPLORE Information is and shall at all times remain the property of XPLORE. No use of such XPLORE Information is permitted except as otherwise provided herein and no grant under any of XPLORE’s intellectual property rights is hereby given or intended, including any license (implied or otherwise). (b) XPLORE agrees that COMPANY Information is and shall at all times remain the property of COMPANY. No use of such COMPANY Information is permitted except as otherwise provided herein and no grant under any of COMPANY intellectual property rights is hereby given or intended, including any license (implied or otherwise).",Agreement shall not grant Receiving Party any right to Confidential Information.,Entailment,0
454,nda-20,"If no satisfactory arrangement is concluded between the parties, or if otherwise requested by VASCO, HUCOM agrees to return to VASCO any written disclosure of CONFIDENTIAL INFORMATION provided by VASCO plus any copies, notes, summaries or other materials derived from the CONFIDENTIAL INFORMATION.",Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,Contradiction,1
248,nda-17,,Receiving Party may create a copy of some Confidential Information in some circumstances.,NotMentioned,0
256,nda-8,,"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",NotMentioned,0
434,nda-11,,Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,NotMentioned,0
385,nda-20,"Upon the request of the Disclosing Party, the Receiving Party will return to the Disclosing Party all documents which contain Confidential Information of the Disclosing Party, and agree that the Receiving Party and its Representatives will not retain any copies thereof.",Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,Contradiction,1
382,nda-11,,Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,NotMentioned,0
208,nda-7,The Receiving Party shall take all practical steps to keep the Disclosing Party’s Confidential Information confidential and shall restrict access to the Confidential Information to those agents and professional advisers to whom disclosure is necessary in pursuit of the Approved Purpose.,"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",Entailment,0
572,nda-5,"As a condition to such information being furnished to the other party, each receiving party agrees to treat, and agrees to cause its subsidiaries and other entities controlled, directly or indirectly, by such party (“Affiliates”) and the respective directors, officers, employees, agents, contractors, representatives, consultants, accountants, attorneys and advisors of such party and its Affiliates (collectively with such Affiliates, “Associates”) to treat, the other party’s Confidential Information in accordance with the provisions of this agreement, and to take or abstain from taking certain other actions, as described in this agreement. The receiving party will not disclose, nor will it permit its Associates to disclose, any Confidential Information of the disclosing party to third parties except to those Associates of the receiving party who need to know the information for the purpose of helping the receiving party evaluate, pursue and/or facilitate a potential Transaction, and who are informed by the receiving party of the confidential nature of the information and either agree to keep confidential and not to disclose the Confidential Information, or who are subject to professional or contractual duties to keep confidential and refrain from disclosing such information.",Receiving Party may share some Confidential Information with some of Receiving Party's employees.,Entailment,0
614,nda-16,,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,NotMentioned,0
250,nda-7,"“Representative”: means employees, agents, officers, advisers and other representatives of the Recipient. The Recipient may disclose the Disclosing Party's Confidential Information to those of its Representatives who need to know this Confidential Information for the Purpose, provided that:","Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",Entailment,0
468,nda-18,,Receiving Party shall not solicit some of Disclosing Party's representatives.,NotMentioned,0
134,nda-10,,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,NotMentioned,0
570,nda-16,,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,NotMentioned,0
461,nda-18,,Receiving Party shall not solicit some of Disclosing Party's representatives.,NotMentioned,0
447,nda-18,,Receiving Party shall not solicit some of Disclosing Party's representatives.,NotMentioned,0
327,nda-15,"All right, title and interest in and to Confidential Material will be and remain vested in the City. Nothing in this Agreement obliges the City to disclose Confidential Material to the Recipient or grants the Recipient any license or right of any kind with respect to Confidential Material, except the limited right to use such information solely for the Purpose.",Agreement shall not grant Receiving Party any right to Confidential Information.,Entailment,0
288,nda-5,The receiving Party may disclose Confidential Information: 3.1.1 only to such employees of the receiving Party as are strictly necessary for the Permitted Purpose; and/or,Receiving Party may share some Confidential Information with some of Receiving Party's employees.,Entailment,0
331,nda-17,,Receiving Party may create a copy of some Confidential Information in some circumstances.,NotMentioned,0
209,nda-16,"Upon expiration or termination of this Agreement, unless otherwise promptly requested by the Disclosing Party in advance of such expiration or termination, the Receiving Party shall return or destroy (and, in the case of destruction, promptly provide a certification of such destruction to the Disclosing Party) all Proprietary Information in its possession, including, without limitation, any copies, summaries, and/or compilations made of or from Proprietary Information, and shall make no further use of Proprietary Information.",Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,Entailment,0
191,nda-7,"The Receiving Party shall not copy (in whole or in part), sell, assign, lease, license, disclose, give or otherwise transfer the Confidential Information or any copy thereof to any third party or otherwise use the Confidential Information other than for the purpose intended under this Agreement. The Receiving Party may disclose the Confidential Information only to employees or consultants of the Receiving Party to have a “need to know” the Confidential Information in order to enable the Receiving Party to use the Confidential Information for the purpose intended under this Agreement and are legally bound not to use or disclose the Confidential Information for any other purpose.","Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",Entailment,0
275,nda-7,,"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",NotMentioned,0
572,nda-7,"As a condition to such information being furnished to the other party, each receiving party agrees to treat, and agrees to cause its subsidiaries and other entities controlled, directly or indirectly, by such party (“Affiliates”) and the respective directors, officers, employees, agents, contractors, representatives, consultants, accountants, attorneys and advisors of such party and its Affiliates (collectively with such Affiliates, “Associates”) to treat, the other party’s Confidential Information in accordance with the provisions of this agreement, and to take or abstain from taking certain other actions, as described in this agreement. The receiving party will not disclose, nor will it permit its Associates to disclose, any Confidential Information of the disclosing party to third parties except to those Associates of the receiving party who need to know the information for the purpose of helping the receiving party evaluate, pursue and/or facilitate a potential Transaction, and who are informed by the receiving party of the confidential nature of the information and either agree to keep confidential and not to disclose the Confidential Information, or who are subject to professional or contractual duties to keep confidential and refrain from disclosing such information.","Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",Entailment,0
134,nda-13,,Receiving Party may acquire information similar to Confidential Information from a third party.,NotMentioned,0
111,nda-19,The bounded Party’s(ies’) duty to hold the Confidential Information in confidence shall remain in effect until such information no longer qualifies as a trade secret or written notice is given releasing such Party from this Agreement.,Some obligations of Agreement may survive termination of Agreement.,Entailment,0
474,nda-15,,Agreement shall not grant Receiving Party any right to Confidential Information.,NotMentioned,0
226,nda-11,,Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,NotMentioned,0
578,nda-1,,All Confidential Information shall be expressly identified by the Disclosing Party.,NotMentioned,0
545,nda-8,,"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",NotMentioned,0
317,nda-12,"3.1 Notwithstanding anything to the contrary herein, the following will not constitute Confidential Information for the purposes of this Agreement: 3.1.4 information that a Receiving Party can show, by documentary and competent evidence, to have been developed independently by Receiving Party without using the Disclosing Party’s Confidential Information; or Nothing in this Agreement will be construed as a representation that a Receiving Party will not develop, communicate or use technology, information or products that, without violation of this Agreement, compete with, are the same as, or similar to the Disclosing Party’s Confidential Information.",Receiving Party may independently develop information similar to Confidential Information.,Entailment,0
466,nda-19,,Some obligations of Agreement may survive termination of Agreement.,NotMentioned,0
568,nda-5,"1. In connection with Schneider serving on the Company's board, Schneider and other Company employees, directors, and agents may divulge nonpublic information concerning the Company and its subsidiaries to the Stilwell Group and such information may be shared among the Stilwell Group's employees and agents who have a need to know such information.",Receiving Party may share some Confidential Information with some of Receiving Party's employees.,Entailment,0
365,nda-16,,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,NotMentioned,0
118,nda-8,,"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",NotMentioned,0
182,nda-20,,Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,NotMentioned,0
360,nda-18,,Receiving Party shall not solicit some of Disclosing Party's representatives.,NotMentioned,0
125,nda-1,"1. The term “Confidential Information” shall include: (a) All information that is delivered by or on behalf of the HNBA to the Board Member in written, graphic or electronic form and that is marked “confidential” or “proprietary;” (a) Any information, whether in oral, written, graphic, electronic, machine readable or any other form, that is provided to the Board Member by or on behalf of the HNBA in connection with the Board Member’s performance of his or her duties as an HNBA Board Member and that is not otherwise readily available to the public, including membership lists, financial reports, personnel evaluations, program plans and reports, memoranda, e-mail and communications related to HNBA business – whether originated by an HNBA member or not, and communications that may be protected by the Attorney-Client Privilege or the Attorney Work Product Doctrine; (c) Written and spoken information provided to the Board Member in the performance of his or her duty to evaluate prospective nominees for judicial or executive office who have requested the support of the HNBA, including but not limited to (1) completed questionnaires and any other data furnished by the candidate or third parties to the HNBA; (ii) confidential information gathered by the Board Member or told to the Board Member during any investigation or evaluation of any candidate being considered for endorsement; (iii) conversation, colloquy, deliberations, evaluations, and conclusions concerning a prospective nominee expressed during the evaluation or consideration of the candidates’ qualifications or endorsement request; and (iv) the decision of any committee or the Board of Governors concerning whether a prospective nominee is qualified for appointment; and (b) Any personally identifiable information including, but not limited to, name, address, telephone number, date of birth, social security number, e-mail address or any combination thereof provided by or on behalf of the HNBA to the Board Member.",All Confidential Information shall be expressly identified by the Disclosing Party.,Contradiction,1
475,nda-17,"The Parties shall not make any copies, images or other reproductions of the Company Information disclosed by or otherwise obtained from the other Party.",Receiving Party may create a copy of some Confidential Information in some circumstances.,Contradiction,1
100,nda-8,,"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",NotMentioned,0
509,nda-11,,Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,NotMentioned,0
180,nda-15,"4. All tangible forms of the Information, such as written documentation, delivered by ONS to the RECIPIENT and all copies thereof made by the RECIPIENT pursuant to this Agreement shall be and remain the property of ONS, and all such tangible Information shall be promptly returned to ONS upon request. 6. The RECIPIENT acknowledges that all Intellectual Property Rights (IPR) in and to the Information shall at all times remain vested in ONS.",Agreement shall not grant Receiving Party any right to Confidential Information.,Entailment,0
548,nda-12,,Receiving Party may independently develop information similar to Confidential Information.,NotMentioned,0
95,nda-4,"6.4. For the avoidance of doubt, notwithstanding anything to the contrary contained in this Agreement, the Parties agree that Eskom shall not be precluded in any manner whatsoever from further using, exploiting or disclosing any outcomes, reports, analysis or data compiled and/or developed by the Counterparty pursuant to the Project. 6.6. Except as otherwise contemplated in this Agreement, the Parties agree in favour of one another not to utilize, exploit or in any other manner whatsoever use the Confidential Information disclosed pursuant to the provisions of this Agreement for any purpose whatsoever other than the Project without the prior written consent of the Disclosing Party. The Receiving Party undertakes not to use the Confidential Information for any purpose other than: 8.1. the Project; and 8.2. in accordance with the provisions of this Agreement.",Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,Entailment,0
551,nda-1,,All Confidential Information shall be expressly identified by the Disclosing Party.,NotMentioned,0
587,nda-11,,Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,NotMentioned,0
200,nda-10,,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,NotMentioned,0
193,nda-4,"2. Subject to the provisions of Clauses 4 and 7 hereof, the Receiving Party undertakes: (c) not to use Proprietary Information disclosed to it under this Agreement other than for the Purpose, except with the prior written permission of the Disclosing Party;",Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,Entailment,0
319,nda-10,The Company shall not: Make any public announcement of disclosure concerning the contents of this Agreement beyond the disclosures authorized hereunder without the prior written consent of the TTC.,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,Entailment,0
343,nda-10,Neither party will make or permit to be made any announcement or disclosure of its prospective interest in the Proposal without the prior written consent of the other party.,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,Entailment,0
587,nda-8,,"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",NotMentioned,0
474,nda-11,,Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,NotMentioned,0
273,nda-3,,Confidential Information may include verbally conveyed information.,NotMentioned,0
495,nda-15,"3. Nothing herein shall be construed to obligate HPAC to disclose any Confidential Information to LHT, or as granting a license to any Confidential Information disclosed. All Confidential Information provided by HPAC and any copies made thereof shall remain the sole property of HPAC and shall be returned or destroyed, at the option of HPAC, upon three (3) days' written notice to LHT.",Agreement shall not grant Receiving Party any right to Confidential Information.,Entailment,0
449,nda-15,,Agreement shall not grant Receiving Party any right to Confidential Information.,NotMentioned,0
383,nda-16,,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,NotMentioned,0
156,nda-19,Recipient’s obligations under this Agreement with regard to the Trade Secrets remain in effect for so long as such information shall remain a trade secret under applicable law.,Some obligations of Agreement may survive termination of Agreement.,Entailment,0
217,nda-4,a. Non-Use. Developer shall not use any Sample Data for any purpose other than the Permitted Purpose.,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,Entailment,0
520,nda-20,"Upon written notice from DISCLOSING PARTY at any time, COMPANY shall return to DISCLOSING PARTY or destroy all Confidential Information and any copies or derivative works thereof.",Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,Contradiction,1
309,nda-19,"15. The Recipient acknowledges and agrees that its obligations under this agreement shall be continuing and, in particular, they shall survive the termination of this Agreement and shall not be affected by any discussions between the Recipient and the Disclosing Party regarding the Information or Materials.",Some obligations of Agreement may survive termination of Agreement.,Entailment,0
616,nda-20,"Notwithstanding the foregoing, neither the Recipient nor its Representatives will be required to erase electronically stored Confidential Information that has been saved to a back-up file or other electronic medium in accordance with its or its Representatives’ ordinary back-up practices.",Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,Entailment,0
494,nda-5,"Without limiting the generality of the foregoing, the receiving party further promises and agrees: (e) to restrict access to the Confidential Information and Intellectual Property to those of its officers, directors, and employees who clearly need such access to carry out the Program;",Receiving Party may share some Confidential Information with some of Receiving Party's employees.,Entailment,0
367,nda-7,Confidential Information may be disclosed only to employees or consultants of the Receiving Party who have a need to know.,"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",Entailment,0
570,nda-2,"“Confidential Information” means any information, technical data, trade secrets or know-how of the disclosing party or its customers, vendors, business partners or investors that is provided to the recipient party by or on behalf of the disclosing party, either directly or indirectly, whether in writing, orally or by observation, including, but not limited to, research, products, services, product plans, clients, client lists, lead lists, markets, marketing, expansion plans, databases, software, developments, inventions, processes, technology, maskworks, designs, drawings, engineering, hardware configuration information, finances, financial results or other business information, in each case which the disclosing party considers to be confidential or proprietary.",Confidential Information shall only include technical information.,Contradiction,1
342,nda-18,,Receiving Party shall not solicit some of Disclosing Party's representatives.,NotMentioned,0
358,nda-18,,Receiving Party shall not solicit some of Disclosing Party's representatives.,NotMentioned,0
441,nda-16,"Upon termination of this Agreement, all copies of written, recorded, graphical or other tangible Proprietary Information must either be returned to the Discloser, or destroyed (i) after the Recipient's need for it has expired or",Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,Entailment,0
235,nda-13,,Receiving Party may acquire information similar to Confidential Information from a third party.,NotMentioned,0
87,nda-12,,Receiving Party may independently develop information similar to Confidential Information.,NotMentioned,0
164,nda-20,"3.8 Notwithstanding the foregoing, the Receiving Party may retain such of its documents as required to comply with mandatory law, provided that such Confidential Information or copies thereof shall be subject to an indefinite confidentiality obligation.",Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,Entailment,0
343,nda-7,"1.1 “Agents” means directors, officers, employees, agents, professional advisers, contractors or sub-contractors, or any Group member; 2.3 Notwithstanding clause 2.1 above, the Receiving Party may disclose Confidential Information: a) to those of its Agents who strictly need to know the Confidential Information for the sole purpose set out in clause 2.2 above, provided that the Receiving Party shall ensure that such Agents are made aware prior to the disclosure of any part of the Confidential Information that the same is confidential and that they owe a duty of confidence to the Disclosing Party.","Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",Entailment,0
116,nda-15,"This agreement does not confer any rights, in particular property, licencing or replication rights, rights of use or any other commercial protected rights or options between the parties.",Agreement shall not grant Receiving Party any right to Confidential Information.,Entailment,0
418,nda-4,"2. Unless otherwise expressly authorized by the disclosing party, the receiving party agrees to retain the confidential information in confidence for the ""Confidential Period"" defined in paragraph number 3 below, during which period the receiving party shall not disclose the confidential information to any third party, and shall not use the confidential information for any purpose other than the aforesaid purposes.",Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,Entailment,0
619,nda-15,"Nothing in this Agreement is intended to grant or transfer any right to Receiving Party under any patent, copyright or other intellectual property right of Disclosing Party, nor shall this Agreement grant or transfer to the Receiving Party any right in or to the Confidential Information except as expressly set forth herein. Except as otherwise provided herein, nothing contained in this Agreement shall be construed as conferring any right on Receiving Party to use in any manner Disclosing Party’s name or any trade name or trademark.",Agreement shall not grant Receiving Party any right to Confidential Information.,Entailment,0
325,nda-10,2.3. Neither Party will disclose the fact of existence of this Agreement without prior approval from the other Party.,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,Entailment,0
457,nda-11,,Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,NotMentioned,0
410,nda-19,,Some obligations of Agreement may survive termination of Agreement.,NotMentioned,0
305,nda-12,"The Receiving Participant shall have no obligation with respect to information which: (v) is developed by or for the Receiving Participant without use of the Confidential Information, provided such independent development can be shown by documentary evidence; or The terms of confidentiality under this Agreement shall not be construed to limit the Participant’s right to develop independently or acquire products without use of the Confidential Information or to reassign Participant’s own Representatives within Participant’s own organization.",Receiving Party may independently develop information similar to Confidential Information.,Entailment,0
464,nda-15,5. Confidential Information disclosed under this Agreement (including information in computer software or held in electronic storage media) shall be and shall remain the property of the Disclosing Party.,Agreement shall not grant Receiving Party any right to Confidential Information.,Entailment,0
516,nda-20,"Notwithstanding the foregoing, (i) a Recipient shall not be required to delete, erase or destroy any Evaluation Material contained in an archived computer backup system stored as a result of automated back-up procedures, and (ii) a Recipient may retain one copy of the Evaluation Material in its Office of the General Counsel solely for record-keeping purposes.",Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,Entailment,0
242,nda-11,,Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,NotMentioned,0
161,nda-19,"However, any termination of this Agreement shall not relieve Recipient of its confidentiality and use obligations with respect to Confidential Information disclosed prior to the date of such termination. Except for the right to use Confidential Information for the Purpose, which right terminates when this Agreement terminates, Recipient’s duty to protect Discloser’s Confidential Information expires 5 years from the date on which that Confidential Information was disclosed to Recipient. Sections 4, 5, 7, 8, 10, 11, 12, 13, 14, 15 and 16 shall survive any termination of this Agreement.",Some obligations of Agreement may survive termination of Agreement.,Entailment,0
88,nda-8,Confidential Information shall not include any information that: (v) the Confidential Information is required to be disclosed pursuant to a requirement of a governmental agency or law so long as the other party is provided notice of such requirement prior to any such disclosure.,"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",Entailment,0
277,nda-10,,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,NotMentioned,0
199,nda-3,"WHEREAS, the Parties (which shall include only employees and directors of each Party but shall not include agents, representatives, consultants, or financial advisors, unless disclosure to any such non-employee or non-director has been approved prior to disclosure by the Disclosing Party) are willing to exchange with each other pursuant to this Agreement business and technical information that is (b) if initially disclosed orally, is identified as confidential at the time of disclosure and within thirty (30) days after such oral disclosure is reduced to writing and marked with a suitable restrictive legend (collectively, such information being hereinafter referred to as “Confidential Information”); and",Confidential Information may include verbally conveyed information.,Entailment,0
149,nda-10,,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,NotMentioned,0
615,nda-13,"“Evaluation Material” means (a) all confidential and/or proprietary information, data, agreements, documents, reports, “know-how”, interpretations, plans, studies, forecasts, projections and records (whether in oral or written form, electronically stored or otherwise) containing or otherwise reflecting information concerning the Disclosing Party, any of its subsidiaries or affiliates, their respective businesses or assets and other similar information whether received before (but following August 2, 2018), on or after the date of this Agreement, (b) all memoranda, notes, analyses, compilations, studies or other documents to the extent the same reflect, were developed based upon or which include any such Evaluation Material (whether in written form, electronically stored or otherwise), whether prepared by the Disclosing Party, the Recipient or any other Person, and (c) this Agreement, the terms, provisions and conditions of this Agreement, the existence or purpose of this Agreement or the Proposed Transaction or any of the terms, conditions or other facts with respect to the Proposed Transaction, including without limitation, the fact that the parties are discussing a Proposed Transaction or the status thereof (such information described in this clause (c), “Transaction Information”); provided, however, that “Evaluation Material” does not include, with respect to clauses (a) and (b) of this paragraph, (ii) information that is obtained by the Recipient from a source other than the Disclosing Party unless such source is known by the Recipient or its Representatives after reasonable inquiry to be bound by a contractual, legal or fiduciary obligation to the Disclosing Party with respect to such information that prohibited such disclosure,",Receiving Party may acquire information similar to Confidential Information from a third party.,Entailment,0
167,nda-20,"The Receiving Party shall, upon the written request of the Disclosing Party, return to the Disclosing Party or, at the Disclosing Party’s direction, destroy all documents and any and all other tangible manifestations of Confidential Information received or created by the Receiving Party pursuant to this Agreement (and all copies and reproductions thereof).",Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,Contradiction,1
517,nda-1,"Confidential Information does not need to be marked as such and is defined as any and all technical, business financial and other information belonging to either party, including but not limited to products, descriptions, drawings, bills of material, assembly drawings, compositions, business plans, financial information, trade secrets, know how, inventions, manufacturing techniques and processes, marketing and sales processes and techniques, customer lists, price lists, suppliers, current and future product developments. Confidential Information shall not include information, technical data or knowledge which: f. if orally disclosed by one party to the other and within thirty (30) days after the oral disclosure, the disclosing party does not so identify it in writing as Confidential Information. Neither party will disclose to third parties or fail to treat as Confidential Information any information received orally from the disclosing party unless the disclosing party fails for thirty (30) days after such disclosure to identify the information disclosed as being confidential or proprietary. All information disclosed under this Agreement is deemed Confidential Information whether or not it is so marked. It is the intent of the Parties to mark information as confidential and/or proprietary prior to release to the Receiving Party. However, such markings may be overlooked and or disclosed verbally or visually and shall not diminish the value of its confidentiality.",All Confidential Information shall be expressly identified by the Disclosing Party.,Contradiction,1
624,nda-4,"Neither the Recipient nor any of the Recipient’s Representatives (as defined in Section 13 below) will, at any time, directly or indirectly: (a) make use of any of the Provider’s Confidential Information (as defined in Section 12 below), except for the specific purpose of considering, evaluating and negotiating a Transaction between the Parties; or Neither the Recipient nor any of the Recipient’s Representatives will contact or otherwise communicate with any other Representative of the Provider in connection with a Transaction without the prior written authorization of the Provider Contact Person.",Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,Entailment,0
